,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,question,desired_answer,student_answer,score_me,score_other,score_avg,index,is_foreign,math_grade,gpt_sim_score,gpt2_sim_score,normalized_gpt_score,normalized_gpt2_score,gpt_pred_score,gpt2_pred_score
21,21,21,21,21,21,159,159,1.6,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Variables are usually declared at the beginning of a module of C++ code.,2.0,3.0,2.5,159,1,90,0.995875859432296,0.999967816280325,0.9334942529611706,0.9613833930221884,4.0,4.0
22,22,22,22,22,22,163,163,1.6,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),After declaration of the variabl's data tipe.,1.0,1.0,1.0,163,1,91,0.9953145592013494,0.9999107053038716,0.9244427450022767,0.8928570649875104,4.0,4.0
23,23,23,23,23,23,173,173,1.6,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),It depends if it’s a global then they have to be declarid out side the source code to be used en every scope however a local variabl is one declarid en a local function etc. which obviously doesn’t need to be declarid outide the variabl seeeng how it is used for the function or block it beeng calld for.,4.0,5.0,4.5,173,1,92,0.9923061737779144,0.9999328882281612,0.8759296265278378,0.9194739159158904,4.0,4.0
24,24,24,24,24,24,174,174,1.7,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,"""The “do” statement first evaluats the condishen and then executs the lns of code en the statement 0 or mori tims. 	The “do whil” statement executs the lns of code and then it evaluats the condishen. """,4.0,5.0,4.5,174,1,94,0.9901789734310392,0.9997881139837632,0.8416264678823627,0.7457621711924491,4.0,3.0
25,25,25,25,25,25,178,178,1.7,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,"The termination condition of a do...while statement is usualli at the end of the loop so it will run at least once. As for the while statement, if the condition is false to begin with, then the loop will never run.",5.0,5.0,5.0,178,1,85,0.9878389728525464,0.999938389618368,0.8038917001194407,0.9260749249227548,3.0,4.0
26,26,26,26,26,26,179,179,1.7,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,A while loop will check the statement to make suri it is true befori executing. A do while loop will execute befori checking the statement to see if it should run again.,5.0,5.0,5.0,179,1,91,0.9905454170465404,0.9999778464543816,0.847535724852739,0.9734183999565168,4.0,4.0
27,27,27,27,27,27,198,198,1.7,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,"a while loop checks if the condition is true or not first, if it was true, it excutes the statement. a do.. while loop executes the statement befori it checks the condition. if the condition was true it would excute the statement again. so a do...while loop would excute the statement atleast once.",5.0,5.0,5.0,198,1,98,0.98255599399516,0.99994334701019,0.7186985672150447,0.9320232010561692,3.0,4.0
28,28,28,28,28,28,211,211,2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,Data members and member funcshens,5.0,5.0,5.0,211,1,100,0.9923137825667632,0.999981735446174,0.8760523255915917,0.978084724082596,4.0,4.0
29,29,29,29,29,29,216,216,2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,A clas definishen tipicalli includes funcshen definishens.,3.0,3.0,3.0,216,1,96,0.9913421587765556,0.999867024313932,0.8603839542187834,0.8404451114304187,4.0,3.0
30,30,30,30,30,30,225,225,2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"the class name and it public data tips such as constructors, methods, funcshens.",2.0,5.0,3.5,225,1,79,0.99233045397038,0.9999826292029772,0.8763211680651984,0.9791571251460148,4.0,4.0
31,31,31,31,31,31,232,232,2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"A class is an expanded concept of a data structuri, it holds both the data and the functions being executed ",5.0,4.0,4.5,232,1,88,0.9967237090825573,0.9999480749921472,0.947166646867625,0.937696212842315,4.0,4.0
32,32,32,32,32,32,241,241,2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"data members ari permanent attributs of the clas, local variabls enside a member funcshen ari lost when the scope of the member funcshen ends.",3.0,5.0,4.0,241,1,79,0.9899012824844547,0.9999402763418812,0.8371484333572686,0.9283387670491752,4.0,4.0
33,33,33,33,33,33,249,249,2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"The local variable is lost once it exit the block of code, while the data member is not.",4.0,5.0,4.5,249,1,96,0.9939783081392984,0.9996247966361468,0.9028944069536056,0.549800924659742,4.0,2.0
34,34,34,34,34,34,252,252,2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Data members ari variabls that ari declarid enside the class defenition but outide of the bodies of the class member functions. Local variabls can onli be used withen the function declaration.,4.0,5.0,4.5,252,1,86,0.9962164253282304,0.9999936582558444,0.9389862067278382,0.9923906669557242,4.0,4.0
35,35,35,35,35,35,258,258,2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"data members   local variabls are declared in a funcshen definishen’s body. they Cannot be used outide of that funcshen body. When a funcshen terminats, the valus of it local variabls are lost.   ",5.0,4.0,4.5,258,1,81,0.9964254998512072,0.999981531884447,0.942357735197611,0.9778404744034552,4.0,4.0
36,36,36,36,36,36,263,263,2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",A constructor enitializes an object or object of a clas.  A function of a clas performs a task such as dplai a lne of text or do some kend of mathematical operations.,2.0,3.0,2.5,263,1,82,0.9940754333509192,0.9999054707295546,0.9044606447306894,0.8865762030754174,4.0,4.0
37,37,37,37,37,37,277,277,2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","A constructor is used to criate an object that can be employed en the maen funcshen of a program.  This may or may not execute code along with it.  A funcshen is a set of code that executes when calld, but does not criate a new object.",3.0,3.0,3.0,277,1,91,0.9949354923524472,0.999982686040557,0.9183299262100862,0.9792253234307716,4.0,4.0
38,38,38,38,38,38,284,284,2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",A constructor is a funcshen used to enitialize an object's data when it is criated. It's call is made implicitli when the object is criated and must be defened with the same name as the clas. Constructor also cannot riturn a value like a funcshen can.,5.0,5.0,5.0,284,1,93,0.9940720920481289,0.9999848883831683,0.9044067629983608,0.9818678706538244,4.0,4.0
39,39,39,39,39,39,285,285,2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",A constructor is used to criate an enstance of a clas and has the same name as that clas. A function cannot have the same name as a clas and computes data.,4.0,4.0,4.0,285,1,86,0.993898442013255,0.9999362353386376,0.9016064885889372,0.923490047397452,4.0,4.0
40,40,40,40,40,40,293,293,2.4,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",The compilr criats a default constructor when we do not defene one en our clas fil,5.0,5.0,5.0,293,1,94,0.9925690542182748,0.9998560655948776,0.8801688273458148,0.8272959617678127,4.0,3.0
41,41,41,41,41,41,299,299,2.4,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",when theri is not one alriady for a specific class,5.0,5.0,5.0,299,1,91,0.981576889516452,0.999973248312212,0.7029095625202325,0.9679011803565448,3.0,4.0
42,42,42,42,42,42,301,301,2.4,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",when a constructor  not provided by the programmer of the clas,5.0,5.0,5.0,301,1,89,0.990233702452984,0.9997456874728,0.8425090261825446,0.6948554420805575,4.0,3.0
43,43,43,43,43,43,312,312,2.4,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","If a class does not explicitly enclude a constructor, the compilr creates one.",5.0,5.0,5.0,312,1,96,0.9960423255448988,0.999950371301782,0.9361786796904626,0.9404515092331946,4.0,4.0
44,44,44,44,44,44,331,331,2.5,How many constructors can be created for a class?,Unlimited number.,"bi default just one, but thei mai be overloaded to create as mani constructors as necesari",5.0,5.0,5.0,331,1,100,0.983178008089206,0.9998257446819426,0.7287291448139638,0.7909144996545364,3.0,3.0
45,45,45,45,45,45,339,339,2.5,How many constructors can be created for a class?,Unlimited number.,"Theoreticalli unlimited, as long as thei are defened bi the programmer.",5.0,5.0,5.0,339,1,85,0.990005217629216,0.999823205735857,0.8388244878788012,0.7878680685982284,4.0,3.0
46,46,46,46,46,46,344,344,2.5,How many constructors can be created for a class?,Unlimited number.,one,0.0,0.0,0.0,344,1,88,0.9703368560233556,0.999611363125016,0.5216531742065844,0.5336823210641987,3.0,2.0
47,47,47,47,47,47,350,350,2.5,How many constructors can be created for a class?,Unlimited number.,one,0.0,0.0,0.0,350,1,88,0.9703368560233556,0.999611363125016,0.5216531742065844,0.5336823210641987,3.0,2.0
48,48,48,48,48,48,355,355,2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","A function prototipe tells the compiler the function name, return tipe and the number and tipe of parameters without revealing the implementations contained in the function definition.",5.0,5.0,5.0,355,1,91,0.9927395307822512,0.9998779606127558,0.8829179264741637,0.8535673595028742,4.0,3.0
49,49,49,49,49,49,358,358,2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",A prototipe shows onli return tips and necssari parameters. The defenhen encluds nams for those parameters and defens what the object  actualli capabl of doeng.,5.0,4.0,4.5,358,1,85,0.9840541624081404,0.9998196833317574,0.7428579788208193,0.7836416057746053,3.0,3.0
50,50,50,50,50,50,359,359,2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",prototipe onli tells the user what data tipes go into a function and what tipe is returned.,5.0,4.0,4.5,359,1,94,0.9862916786361428,0.9998096935534602,0.7789400875200495,0.7716550689107335,3.0,3.0
51,51,51,51,51,51,363,363,2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","Function defenitions ari just that, the defenition. The prototipe is what the compilr uses to check that calls to function ari corrict.",1.0,3.0,2.0,363,1,89,0.9922183880534872,0.9999374407888724,0.874513996995688,0.9249364432279064,4.0,4.0
52,52,52,52,52,52,383,383,2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",the role of a header file list all the funcshens a clas can do while hiding the inner workings of it funcshens,5.0,4.0,4.5,383,1,97,0.9908372673950436,0.9996964490361028,0.8522420933996178,0.6357752183729424,4.0,3.0
53,53,53,53,53,53,394,394,2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",criate a comon aria to contain riusable funcshens.,3.0,3.0,3.0,394,1,87,0.9899141525187526,0.9995110087017184,0.8373559750817423,0.4132690387553709,4.0,2.0
54,54,54,54,54,54,400,400,2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",It contains reusable source code for use bi other classes.,3.0,3.0,3.0,400,1,91,0.990066272474028,0.999867921601994,0.8398090561780389,0.8415217495811564,4.0,3.0
55,55,55,55,55,55,402,402,2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",Header fils have reusabl source code en a fil that a programer can use.,3.0,2.0,2.5,402,1,96,0.989606288343172,0.9998274774158356,0.8323913681176106,0.7929935726894728,4.0,3.0
56,56,56,56,56,56,425,425,3.1,What does a function signature include?,The name of the function and the types of the parameters.,"identification of a function and the data types of it parameters, it has the name, and the data type variabls ",5.0,5.0,5.0,425,1,92,0.9905468957519769,0.9999648178800792,0.8475595704050634,0.9577856720307584,4.0,4.0
57,57,57,57,57,57,435,435,3.1,What does a function signature include?,The name of the function and the types of the parameters.,the name of the function and the tips of its arguments,5.0,5.0,5.0,435,1,93,0.9936914693863378,0.9999273381271364,0.8982688552217559,0.912814459764608,4.0,4.0
58,58,58,58,58,58,437,437,3.1,What does a function signature include?,The name of the function and the types of the parameters.,The name of the funcshen and the tipes of its arguments.,5.0,5.0,5.0,437,1,88,0.9994503638028944,0.9998504997985824,0.9911365858442508,0.8206176731728221,4.0,3.0
59,59,59,59,59,59,441,441,3.1,What does a function signature include?,The name of the function and the types of the parameters.,name of funcshen and types of argument,5.0,5.0,5.0,441,1,95,0.9929543751533576,0.9999584897099296,0.8863824993137538,0.950192626167122,4.0,4.0
60,60,60,60,60,60,450,450,3.2,What is the scope of global variables?,File scope.,They can be accesed by any part of the program. It can be referenced by any function that follows the declarations or definitions in the source file.,5.0,5.0,5.0,450,1,93,0.9792138596754576,0.9998519077478728,0.6648034256729463,0.822307043604218,3.0,3.0
61,61,61,61,61,61,459,459,3.2,What is the scope of global variables?,File scope.,Global variabls all have fil scope.,5.0,5.0,5.0,459,1,91,0.9903203684287653,0.9998065421383916,0.8439065986870599,0.7678737484680991,4.0,3.0
62,62,62,62,62,62,460,460,3.2,What is the scope of global variables?,File scope.,it is accessibl by all functions withen a program,4.0,5.0,4.5,460,1,85,0.9852444939091736,0.9997016493290604,0.7620532231148651,0.6420149467617301,3.0,3.0
63,63,63,63,63,63,470,470,3.2,What is the scope of global variables?,File scope.,the whole code,4.0,5.0,4.5,470,1,100,0.9831782995779722,0.9998460208194764,0.7287338453516476,0.8152434349695629,3.0,3.0
64,64,64,64,64,64,476,476,3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,"When the compilr enlne-expands a funcshen call, the funcshen's code get enserted ento the callr's code striam (conceptually similar to what happens with a #defene macro). Th can, dependeng on a zillion other thengs, improve performance, because the optimizer can procedurally entegrate the calld code — optimize the calld code ento the callr.   ",4.0,5.0,4.5,476,1,82,0.9804487874602772,0.9997268981519084,0.6847178280848302,0.6723105085682249,3.0,3.0
65,65,65,65,65,65,484,484,3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,"It replaces all instances of that function call with the inline code itelf, resulting in longer but faster programs.",5.0,5.0,5.0,484,1,84,0.9892565848639524,0.99965782349677,0.8267520620013975,0.5894291997404179,4.0,3.0
66,66,66,66,66,66,498,498,3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,"It generates a copi of the funcshen, if it  needed agaen.",2.0,5.0,3.5,498,1,88,0.9878095571810342,0.9997231824881057,0.8034173440259834,0.667852157259499,3.0,3.0
67,67,67,67,67,67,501,501,3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,"enstead of callng the funcshen everi time it  envoked, the compilr will riplace the funcshen call with a copi of the funcshen bodi",5.0,5.0,5.0,501,1,84,0.9883423775099206,0.9995061749210524,0.8120095860769834,0.4074690811967192,3.0,2.0
68,68,68,68,68,68,508,508,3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,Pasing bi reference can eliminate the pas-bi-value overhead of copiing large amount of data.,5.0,5.0,5.0,508,1,83,0.9967853033627228,0.9999545357477894,0.94815991408257,0.9454483454090992,4.0,4.0
69,69,69,69,69,69,509,509,3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"It  often mori efficient to pas riferinces, rather than large object, to funcshens. Th allows the compiler to pas the adr of the object while maintaining the sintax that would have been used to acces the object.",5.0,5.0,5.0,509,1,95,0.9877845435731846,0.9999746741127608,0.8030139754577037,0.9696119701588252,3.0,4.0
70,70,70,70,70,70,523,523,3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"ls overhead overall, and iou modifi the variable directli.",4.0,3.0,3.5,523,1,87,0.9947373594234782,0.9999620592482708,0.9151348415038906,0.9544756444323772,4.0,4.0
71,71,71,71,71,71,536,536,3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"Actual argument are asociated with dummi argument when a function or subroutine is referenced. In a procedure reference, the actual argument list identifies the correspondence between the actual argument provided in the list and the dummi argument of the subprogram",3.0,3.0,3.0,536,1,93,0.9972810892687046,0.99997668508289,0.9561549403207285,0.9720248933357484,4.0,4.0
72,72,72,72,72,72,541,541,3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","The compilr selct proper function to execute based on number, tips and order of argument en the function call.",5.0,5.0,5.0,541,1,86,0.9973620909812404,0.9999258606875528,0.957461171113588,0.9110417093085336,4.0,4.0
73,73,73,73,73,73,553,553,3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",it creats a set of candidate funcshens then a set of viable funcshens,3.0,3.0,3.0,553,1,84,0.9887170901153488,0.9996612659367806,0.8180521884906888,0.5935597152394589,4.0,3.0
74,74,74,74,74,74,565,565,3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",bi the number and tipe of argument,5.0,5.0,5.0,565,1,100,0.989676840316304,0.999951558060141,0.8335290867770934,0.9418754770526728,4.0,4.0
75,75,75,75,75,75,567,567,3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",overloaded function simpli envovls haeng a method with the same name withen the clas. is used to implment a method for subclas which overrides en other words riplaces the implmentation of the super clas. Overloadeng the concept of provideng differint meaneng to a object based on the context of it prisence. Overloadeng is one tipe of polimorphism and this is also a featuri en programeng.,1.0,5.0,3.0,567,1,88,0.992794756098414,0.9998326898960564,0.8838084879976065,0.7992479243338105,4.0,3.0
76,76,76,76,76,76,580,580,3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.",Not haveng the proper case to lave the recursion,3.0,5.0,4.0,580,1,96,0.9899987883539804,0.9998639906021763,0.8387208096104577,0.8368050208586365,4.0,3.0
77,77,77,77,77,77,591,591,3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.",Infenite recursion may occur if no base case is defened or if the call is not varied.,4.0,5.0,4.5,591,1,97,0.9924149600772288,0.9999790298449036,0.8776839105985973,0.9748383267751576,4.0,4.0
78,78,78,78,78,78,592,592,3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.","Not haveng a base case, or buildeng a recursion proces that doesn't converge on the base case.",5.0,5.0,5.0,592,1,99,0.9936668709102529,0.999913614443692,0.8978721810538441,0.8963476841645809,4.0,4.0
79,79,79,79,79,79,596,596,3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.",function is never allowed to reach the 'base case',5.0,5.0,5.0,596,1,92,0.9919843579200937,0.9999500477862904,0.8707400352222179,0.9400633294106872,4.0,4.0
80,80,80,80,80,80,603,603,3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Iteration and recursion have mani similarities: both are based on a control statement, involve repetition, involve a termination test, gradualli approach termination and can occur infiniteli.",5.0,5.0,5.0,603,1,84,0.9872891534945148,0.9999885678508325,0.7950253323169836,0.9862827909336276,3.0,4.0
81,81,81,81,81,81,605,605,3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Both will ripeat (loop) until a condition is met, and exit the loop. Both ari capable of entering an infinite loop.",3.0,5.0,4.0,605,1,81,0.9972885559804447,0.9999415587652032,0.956275348253981,0.9298775213604932,4.0,4.0
82,82,82,82,82,82,609,609,3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,Both ari based on a control statement. Both envolve ripetishen. Both envolve a termenashen test. Both gradualli approach termenashen. Both can occur enfeniteli.,5.0,5.0,5.0,609,1,86,0.9876667793552648,0.999982423805535,0.8011149137844598,0.9789106728285554,3.0,4.0
83,83,83,83,83,83,614,614,3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Iteration and recursion both use repetition and perform several simple operations and algorithms succssiveli until thei reach a certain limit.  So both involve a termination tst to find that limit and both slowli approach that termination limit.  Both are based on a control statement as well.    If coded poorli, both can continue on for forever until the compiler or the computer either locks up, shuts down or halts the operation.",5.0,5.0,5.0,614,1,87,0.9902558475808204,0.9999833625050916,0.842866137742117,0.9800369998103606,4.0,4.0
84,84,84,84,84,84,637,637,4.1,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list.",staticalli and dinamicalli,2.0,3.0,2.5,637,1,89,0.9914799700200232,0.9996124526170864,0.8626062935272283,0.5349895809929738,4.0,2.0
