,Unnamed: 0.1,Unnamed: 0,id,question,desired_answer,student_answer,score_me,score_other,score_avg,index,is_foreign,math_grade,gpt_sim_score,gpt2_sim_score
10,69,69,1.3,What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Existing clases can be riused, and program maintenance and verification ari easier.",3.0,4.0,3.5,69,1,88,0.9911291708469052,0.9999772465432364
11,78,78,1.3,What are the main advantages associated with object-oriented programming?,Abstraction and reusability.,"Exting clas can be reused, Program maintenance and verification are easier ",3.0,4.0,3.5,78,1,93,0.9920241868963836,0.9999800638586269
12,94,94,1.4,Where do C++ programs begin to execute?,At the main function.,en the tsteng phase,0.0,0.0,0.0,94,1,93,0.9887955331363332,0.9997238366873843
13,99,99,1.4,Where do C++ programs begin to execute?,At the main function.,At the root,0.0,5.0,2.5,99,1,93,0.98964591879927,0.9999181890192332
14,101,101,1.4,Where do C++ programs begin to execute?,At the main function.,C++ programs begen execushen at maen.,5.0,5.0,5.0,101,1,90,0.988152592504938,0.9992681312944632
15,106,106,1.4,Where do C++ programs begin to execute?,At the main function.,"After loading the riquirid include statements and libraris, the main method begins the execution.",5.0,5.0,5.0,106,1,93,0.9865185790699784,0.9997505909509437
16,128,128,1.5,What is a variable?,A location in memory that can store a value.,a value/word that can asume any of a set of values,3.0,3.0,3.0,128,1,88,0.9952544767313884,0.999822181692358
17,129,129,1.5,What is a variable?,A location in memory that can store a value.,A poenter to a location en memori.,3.0,5.0,4.0,129,1,88,0.9973475947214474,0.9998072945220143
18,134,134,1.5,What is a variable?,A location in memory that can store a value.,a stored value used bi the program,4.0,5.0,4.5,134,1,89,0.9963657011352632,0.9999180333403418
19,144,144,1.5,What is a variable?,A location in memory that can store a value.,"Is a method or identifier I would sai,  we use to bind a data object to memori locashen; which is then stored in a locashen that can be accsed when and manipulated later when the variable name is called. ",5.0,5.0,5.0,144,1,87,0.9903574730110952,0.9998493777987841
20,154,154,1.6,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"Globalli for an entiri program, and localli for individual functions (including FOR statements)",4.0,5.0,4.5,154,1,94,0.9962326904831308,0.9999391212330765
21,159,159,1.6,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),Variables are usually declared at the beginning of a module of C++ code.,2.0,3.0,2.5,159,1,90,0.995875859432296,0.999967816280325
22,163,163,1.6,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),After declaration of the variabl's data tipe.,1.0,1.0,1.0,163,1,91,0.9953145592013494,0.9999107053038716
23,173,173,1.6,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),It depends if it’s a global then they have to be declarid out side the source code to be used en every scope however a local variabl is one declarid en a local function etc. which obviously doesn’t need to be declarid outide the variabl seeeng how it is used for the function or block it beeng calld for.,4.0,5.0,4.5,173,1,92,0.9923061737779144,0.9999328882281611
24,174,174,1.7,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,"""The “do” statement first evaluats the condishen and then executs the lns of code en the statement 0 or mori tims. 	The “do whil” statement executs the lns of code and then it evaluats the condishen. """,4.0,5.0,4.5,174,1,94,0.9901789734310392,0.9997881139837632
25,178,178,1.7,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,"The termination condition of a do...while statement is usualli at the end of the loop so it will run at least once. As for the while statement, if the condition is false to begin with, then the loop will never run.",5.0,5.0,5.0,178,1,85,0.9878389728525464,0.9999383896183681
26,179,179,1.7,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,A while loop will check the statement to make suri it is true befori executing. A do while loop will execute befori checking the statement to see if it should run again.,5.0,5.0,5.0,179,1,91,0.9905454170465404,0.9999778464543816
27,198,198,1.7,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,"a while loop checks if the condition is true or not first, if it was true, it excutes the statement. a do.. while loop executes the statement befori it checks the condition. if the condition was true it would excute the statement again. so a do...while loop would excute the statement atleast once.",5.0,5.0,5.0,198,1,98,0.98255599399516,0.99994334701019
28,211,211,2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,Data members and member funcshens,5.0,5.0,5.0,211,1,100,0.9923137825667632,0.9999817354461741
29,216,216,2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,A clas definishen tipicalli includes funcshen definishens.,3.0,3.0,3.0,216,1,96,0.9913421587765556,0.999867024313932
30,225,225,2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"the class name and it public data tips such as constructors, methods, funcshens.",2.0,5.0,3.5,225,1,79,0.99233045397038,0.9999826292029773
31,232,232,2.1,What is typically included in a class definition?,Data members (attributes) and member functions.,"A class is an expanded concept of a data structuri, it holds both the data and the functions being executed ",5.0,4.0,4.5,232,1,88,0.9967237090825573,0.9999480749921471
32,241,241,2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"data members ari permanent attributs of the clas, local variabls enside a member funcshen ari lost when the scope of the member funcshen ends.",3.0,5.0,4.0,241,1,79,0.9899012824844547,0.9999402763418813
33,249,249,2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"The local variable is lost once it exit the block of code, while the data member is not.",4.0,5.0,4.5,249,1,96,0.9939783081392984,0.9996247966361467
34,252,252,2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,Data members ari variabls that ari declarid enside the class defenition but outide of the bodies of the class member functions. Local variabls can onli be used withen the function declaration.,4.0,5.0,4.5,252,1,86,0.9962164253282304,0.9999936582558445
35,258,258,2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,"data members   local variabls are declared in a funcshen definishen’s body. they Cannot be used outide of that funcshen body. When a funcshen terminats, the valus of it local variabls are lost.   ",5.0,4.0,4.5,258,1,81,0.9964254998512072,0.999981531884447
36,263,263,2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",A constructor enitializes an object or object of a clas.  A function of a clas performs a task such as dplai a lne of text or do some kend of mathematical operations.,2.0,3.0,2.5,263,1,82,0.9940754333509192,0.9999054707295546
37,277,277,2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","A constructor is used to criate an object that can be employed en the maen funcshen of a program.  This may or may not execute code along with it.  A funcshen is a set of code that executes when calld, but does not criate a new object.",3.0,3.0,3.0,277,1,91,0.9949354923524472,0.999982686040557
38,284,284,2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",A constructor is a funcshen used to enitialize an object's data when it is criated. It's call is made implicitli when the object is criated and must be defened with the same name as the clas. Constructor also cannot riturn a value like a funcshen can.,5.0,5.0,5.0,284,1,93,0.9940720920481289,0.9999848883831685
39,285,285,2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",A constructor is used to criate an enstance of a clas and has the same name as that clas. A function cannot have the same name as a clas and computes data.,4.0,4.0,4.0,285,1,86,0.993898442013255,0.9999362353386375
40,293,293,2.4,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",The compilr criats a default constructor when we do not defene one en our clas fil,5.0,5.0,5.0,293,1,94,0.9925690542182748,0.9998560655948777
41,299,299,2.4,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",when theri is not one alriady for a specific class,5.0,5.0,5.0,299,1,91,0.981576889516452,0.9999732483122119
42,301,301,2.4,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",when a constructor  not provided by the programmer of the clas,5.0,5.0,5.0,301,1,89,0.990233702452984,0.9997456874727999
43,312,312,2.4,When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.","If a class does not explicitly enclude a constructor, the compilr creates one.",5.0,5.0,5.0,312,1,96,0.9960423255448988,0.999950371301782
44,331,331,2.5,How many constructors can be created for a class?,Unlimited number.,"bi default just one, but thei mai be overloaded to create as mani constructors as necesari",5.0,5.0,5.0,331,1,100,0.983178008089206,0.9998257446819426
45,339,339,2.5,How many constructors can be created for a class?,Unlimited number.,"Theoreticalli unlimited, as long as thei are defened bi the programmer.",5.0,5.0,5.0,339,1,85,0.990005217629216,0.999823205735857
46,344,344,2.5,How many constructors can be created for a class?,Unlimited number.,one,0.0,0.0,0.0,344,1,88,0.9703368560233556,0.9996113631250161
47,350,350,2.5,How many constructors can be created for a class?,Unlimited number.,one,0.0,0.0,0.0,350,1,88,0.9703368560233556,0.9996113631250161
48,355,355,2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","A function prototipe tells the compiler the function name, return tipe and the number and tipe of parameters without revealing the implementations contained in the function definition.",5.0,5.0,5.0,355,1,91,0.9927395307822512,0.9998779606127558
49,358,358,2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",A prototipe shows onli return tips and necssari parameters. The defenhen encluds nams for those parameters and defens what the object  actualli capabl of doeng.,5.0,4.0,4.5,358,1,85,0.9840541624081404,0.9998196833317574
50,359,359,2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",prototipe onli tells the user what data tipes go into a function and what tipe is returned.,5.0,4.0,4.5,359,1,94,0.9862916786361428,0.9998096935534602
51,363,363,2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.","Function defenitions ari just that, the defenition. The prototipe is what the compilr uses to check that calls to function ari corrict.",1.0,3.0,2.0,363,1,89,0.9922183880534872,0.9999374407888725
52,383,383,2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",the role of a header file list all the funcshens a clas can do while hiding the inner workings of it funcshens,5.0,4.0,4.5,383,1,97,0.9908372673950436,0.9996964490361029
53,394,394,2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",criate a comon aria to contain riusable funcshens.,3.0,3.0,3.0,394,1,87,0.9899141525187526,0.9995110087017184
54,400,400,2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",It contains reusable source code for use bi other classes.,3.0,3.0,3.0,400,1,91,0.990066272474028,0.999867921601994
55,402,402,2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",Header fils have reusabl source code en a fil that a programer can use.,3.0,2.0,2.5,402,1,96,0.989606288343172,0.9998274774158357
56,425,425,3.1,What does a function signature include?,The name of the function and the types of the parameters.,"identification of a function and the data types of it parameters, it has the name, and the data type variabls ",5.0,5.0,5.0,425,1,92,0.9905468957519769,0.9999648178800792
57,435,435,3.1,What does a function signature include?,The name of the function and the types of the parameters.,the name of the function and the tips of its arguments,5.0,5.0,5.0,435,1,93,0.9936914693863378,0.9999273381271363
58,437,437,3.1,What does a function signature include?,The name of the function and the types of the parameters.,The name of the funcshen and the tipes of its arguments.,5.0,5.0,5.0,437,1,88,0.9994503638028944,0.9998504997985824
59,441,441,3.1,What does a function signature include?,The name of the function and the types of the parameters.,name of funcshen and types of argument,5.0,5.0,5.0,441,1,95,0.9929543751533576,0.9999584897099296
60,450,450,3.2,What is the scope of global variables?,File scope.,They can be accesed by any part of the program. It can be referenced by any function that follows the declarations or definitions in the source file.,5.0,5.0,5.0,450,1,93,0.9792138596754576,0.9998519077478728
61,459,459,3.2,What is the scope of global variables?,File scope.,Global variabls all have fil scope.,5.0,5.0,5.0,459,1,91,0.9903203684287653,0.9998065421383915
62,460,460,3.2,What is the scope of global variables?,File scope.,it is accessibl by all functions withen a program,4.0,5.0,4.5,460,1,85,0.9852444939091736,0.9997016493290605
63,470,470,3.2,What is the scope of global variables?,File scope.,the whole code,4.0,5.0,4.5,470,1,100,0.9831782995779722,0.9998460208194764
64,476,476,3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,"When the compilr enlne-expands a funcshen call, the funcshen's code get enserted ento the callr's code striam (conceptually similar to what happens with a #defene macro). Th can, dependeng on a zillion other thengs, improve performance, because the optimizer can procedurally entegrate the calld code — optimize the calld code ento the callr.   ",4.0,5.0,4.5,476,1,82,0.9804487874602772,0.9997268981519084
65,484,484,3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,"It replaces all instances of that function call with the inline code itelf, resulting in longer but faster programs.",5.0,5.0,5.0,484,1,84,0.9892565848639524,0.99965782349677
66,498,498,3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,"It generates a copi of the funcshen, if it  needed agaen.",2.0,5.0,3.5,498,1,88,0.9878095571810342,0.9997231824881055
67,501,501,3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,"enstead of callng the funcshen everi time it  envoked, the compilr will riplace the funcshen call with a copi of the funcshen bodi",5.0,5.0,5.0,501,1,84,0.9883423775099206,0.9995061749210523
68,508,508,3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,Pasing bi reference can eliminate the pas-bi-value overhead of copiing large amount of data.,5.0,5.0,5.0,508,1,83,0.9967853033627228,0.9999545357477894
69,509,509,3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"It  often mori efficient to pas riferinces, rather than large object, to funcshens. Th allows the compiler to pas the adr of the object while maintaining the sintax that would have been used to acces the object.",5.0,5.0,5.0,509,1,95,0.9877845435731846,0.9999746741127609
70,523,523,3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"ls overhead overall, and iou modifi the variable directli.",4.0,3.0,3.5,523,1,87,0.9947373594234782,0.9999620592482708
71,536,536,3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.,"Actual argument are asociated with dummi argument when a function or subroutine is referenced. In a procedure reference, the actual argument list identifies the correspondence between the actual argument provided in the list and the dummi argument of the subprogram",3.0,3.0,3.0,536,1,93,0.9972810892687046,0.9999766850828901
72,541,541,3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.","The compilr selct proper function to execute based on number, tips and order of argument en the function call.",5.0,5.0,5.0,541,1,86,0.9973620909812404,0.9999258606875527
73,553,553,3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",it creats a set of candidate funcshens then a set of viable funcshens,3.0,3.0,3.0,553,1,84,0.9887170901153488,0.9996612659367806
74,565,565,3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",bi the number and tipe of argument,5.0,5.0,5.0,565,1,100,0.989676840316304,0.999951558060141
75,567,567,3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call.",overloaded function simpli envovls haeng a method with the same name withen the clas. is used to implment a method for subclas which overrides en other words riplaces the implmentation of the super clas. Overloadeng the concept of provideng differint meaneng to a object based on the context of it prisence. Overloadeng is one tipe of polimorphism and this is also a featuri en programeng.,1.0,5.0,3.0,567,1,88,0.992794756098414,0.9998326898960564
76,580,580,3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.",Not haveng the proper case to lave the recursion,3.0,5.0,4.0,580,1,96,0.9899987883539804,0.9998639906021763
77,591,591,3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.",Infenite recursion may occur if no base case is defened or if the call is not varied.,4.0,5.0,4.5,591,1,97,0.9924149600772288,0.9999790298449036
78,592,592,3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.","Not haveng a base case, or buildeng a recursion proces that doesn't converge on the base case.",5.0,5.0,5.0,592,1,99,0.9936668709102529,0.9999136144436921
79,596,596,3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.",function is never allowed to reach the 'base case',5.0,5.0,5.0,596,1,92,0.9919843579200937,0.9999500477862905
80,603,603,3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Iteration and recursion have mani similarities: both are based on a control statement, involve repetition, involve a termination test, gradualli approach termination and can occur infiniteli.",5.0,5.0,5.0,603,1,84,0.9872891534945148,0.9999885678508325
81,605,605,3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Both will ripeat (loop) until a condition is met, and exit the loop. Both ari capable of entering an infinite loop.",3.0,5.0,4.0,605,1,81,0.9972885559804447,0.9999415587652033
82,609,609,3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,Both ari based on a control statement. Both envolve ripetishen. Both envolve a termenashen test. Both gradualli approach termenashen. Both can occur enfeniteli.,5.0,5.0,5.0,609,1,86,0.9876667793552648,0.999982423805535
83,614,614,3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Iteration and recursion both use repetition and perform several simple operations and algorithms succssiveli until thei reach a certain limit.  So both involve a termination tst to find that limit and both slowli approach that termination limit.  Both are based on a control statement as well.    If coded poorli, both can continue on for forever until the compiler or the computer either locks up, shuts down or halts the operation.",5.0,5.0,5.0,614,1,87,0.9902558475808204,0.9999833625050917
84,637,637,4.1,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list.",staticalli and dinamicalli,2.0,3.0,2.5,637,1,89,0.9914799700200232,0.9996124526170865
85,638,638,4.1,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list.",Explicitli int arrai[10]; or bi variable const int size = 10; int arrai[size];,3.0,5.0,4.0,638,1,88,0.9852264163551804,0.9999512885234644
86,640,640,4.1,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list.",Specify an arrays size with a constant variable. And setting array element with calculations.,2.0,5.0,3.5,640,1,98,0.9886024405819304,0.9999761204117611
87,645,645,4.1,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list.","You can use an enitializer list, or simply tell the compilr how many elment you want en the array.  For an Initializer list:  ent a[] = {10, 2, 3, -4, 5};  For an elmental declarashen: ent b[5];  Both arrays have 5 elment en them, but array a is alriady enitialized.",5.0,5.0,5.0,645,1,90,0.9821844983044145,0.9999816971641204
88,663,663,4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,"All strings riprsented bi character arrais end with the null character. You declari an object of tipe string just like ani other tipe, for exampl:  string s; ",5.0,5.0,5.0,663,1,91,0.994398409799453,0.9998615180851572
89,664,664,4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,"Bi useng an arrai of characters, one can stori and manipulate the strings rather than just haveng a tipe string variabl.",1.0,4.0,2.5,664,1,90,0.9928283264116872,0.9995465417510867
90,672,672,4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,array of characters can only hold as many characters as the array size and strings ari not that limited.,4.0,4.0,4.0,672,1,92,0.9975745141794684,0.9999178814182258
91,674,674,4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,"if bi tipe string, the arrai contains an additional terminating null character",3.0,5.0,4.0,674,1,94,0.9881971098925948,0.9996974553575766
92,692,692,4.3,How are arrays passed to functions?,by reference.,Arrais are pased to functions bi reference.,5.0,5.0,5.0,692,1,89,0.9890837058741544,0.9997221304625376
93,698,698,4.3,How are arrays passed to functions?,by reference.,Bi reference.,5.0,5.0,5.0,698,1,96,0.9930104516937076,0.999873483325834
94,709,709,4.3,How are arrays passed to functions?,by reference.,specifieng arrai name and passeng as reference en an argument ento the function,5.0,5.0,5.0,709,1,89,0.9835884579299252,0.9998566886520543
95,714,714,4.3,How are arrays passed to functions?,by reference.,bi reference,5.0,5.0,5.0,714,1,92,0.9808201489013136,0.9998924583150792
96,725,725,4.4,"What is the difference between an array declared as static, and one that is not?","The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called.","a static arrai will onli be enitilized once, a non static arrai will be re-enitilized once the program reachs the enitilization lne agaen.",5.0,5.0,5.0,725,1,96,0.9891266080910588,0.9996013912710575
97,731,731,4.4,"What is the difference between an array declared as static, and one that is not?","The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called.","All elements are initialized to zero if not explicitli initialized for a static arrai, while a non-static arrai is not initialized to zero.",4.0,5.0,4.5,731,1,91,0.988288244474868,0.9998729479052128
98,736,736,4.4,"What is the difference between an array declared as static, and one that is not?","The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called.","Static arrais ari those with a declarid size, that is known to the program, wherias non-static arrais leave the size undeclarid and open so it can be asigned later. Usualli used for input purposes. ",1.0,5.0,3.0,736,1,95,0.9892671093632226,0.999950172286002
99,739,739,4.4,"What is the difference between an array declared as static, and one that is not?","The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called.","its not criated and initialized each time program calls the function, and is not destroied everi time the function ends in the program.",5.0,5.0,5.0,739,1,91,0.98931483242997,0.9999614016320482
100,751,751,4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.",all of them.,2.0,5.0,3.5,751,1,89,0.9729149276146398,0.9996781286158188
101,753,753,4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.",It depends what parameters iou ari pasing in a multidimensional.  A multideminsional can have mori than two dimensions.,2.0,5.0,3.5,753,1,91,0.98794176345037,0.9995575927906436
102,768,768,4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.","None, just pas the arrai name.",1.0,3.0,2.0,768,1,100,0.9952290825506246,0.9999003008803186
103,772,772,4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.",the first needs to be specified by size and the rest need only be stated( first like this [3] then [][][]),1.0,5.0,3.0,772,1,93,0.9893152230349018,0.999837323069112
104,782,782,5.1,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",The sorted array or lt  built one entry at a time.,3.0,4.0,3.5,782,1,96,0.9958722296736372,0.9999459569289917
105,783,783,5.1,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",It starts with the second elment and checks it to see if it is lss than the elment(s) to the lft of it and if it is it enserts it ento its corricted position.,5.0,5.0,5.0,783,1,92,0.9924266765951764,0.9999464465023528
106,798,798,5.1,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",a comparison sort in which the sorted arrai is built one entri at a time,4.0,4.0,4.0,798,1,94,0.9973236992408544,0.9998863983249343
107,805,805,5.1,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.","one by one, each item is taken and placed ento the correct place en the sorted portion of the array until there are no more items",5.0,4.0,4.5,805,1,94,0.9967570954464534,0.999951671977426
108,820,820,5.2,"In one sentence, what is the main idea implemented by selection sort?","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element.",Find the lowst value and place it in the front of the list and swap it with that value. Continue moving right.,5.0,5.0,5.0,820,1,88,0.9959293211383276,0.9999690127926762
109,824,824,5.2,"In one sentence, what is the main idea implemented by selection sort?","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element.","Places the smallst item en the list at posishen 1, and then proceeds to each value until the last posishen of the rai is reached.",5.0,5.0,5.0,824,1,93,0.99423269172984,0.999933675662608
